subject_key,site_key,site_subject_ident
david-ginosar-1,vitals,/doctors/Dr_David_Ginosar.html
david-ginosar-1,ratemds,/doctor-ratings/613108/Dr-David+M.-Ginosar-Denver-CO.html
david-ginosar-1,healthgrades,/physician/dr-david-ginosar-x48gf
