subject_key,site_key,site_subject_ident
jones-1,vitals,/doctors/Dr_Everette_Jones.html
jones-1,ratemds,/doctor-ratings/2388685/Dr-EVERETTE-JONES-DENVER-CO.html
jones-1,healthgrades,/physician/dr-everette-jones-gg4st
